Eng Displacement
2.8
3.6
4.4
5.3
6.6
7.2
8.8
9.3
10.5
11.0
12.9
12.0
12.5
15.8
16.0
15.2
18.1
13.0
18.0
14.6
21.9
14.0
24.4
4.25
5.98
27.0
5.0
29.3
30.0
6.5
32.0
32.1
34.5
6.4
7.0
8.6
2.507
51.8
52.0
10.0
10.3
10.4
11.4
2.5
58.56
59.0
58.9
14.59
78.0
3.2
3.8
3.3
3.0
84.7
4.2
86.0
86.7
5.2
5.7
6.37
6.7
97.5
2.4
3.4
3.9
0.954
1.995
2.7
3.99
4.4
5.8
5.98
7.01
8.37
4.23
4.07
4.0
3.861
2.5
10.5
1.5
3.34
0.76
1.76
0.411
0.5
0.879
1.1
3.86
0.617
1.33
2.216
2.2
3.3
0.451
1.496
1.4
1.99
0.676
1.7
2.8
3.9
4.0
4.5
5.9
6.7
8.3
3.3
11.0
C17516
C17520
3516E
3516E
3516E
G3520H
G3520H
G3520C
3512
3512
3512
3512
3512
3512
3512
3512
3512
3512
3512E
3512E
3512E
3512E
CX48P2300
G3512H
G3512H
G3512H
G3512H
3516C
3516C
3516C
3512B
3512B
3512B
3512B
3512B
3512B
3512B
3512B
3512B
3512B
3512BEui
3512BEui
3512BEui
3512BEui
C30
3512C
3512C
3512C
3512C
3512C
3512C
3512C
3512C
3512C
3512C
G3516H
G3516H
G3516H
V12
C32Ta
C32B
C32
3508B
3508B
3508B
3508B
3508B
3508B
3508B
3508B
3508B
C27
C27Ta
3412E
3508
3508
3508
3508Beui
3508Beui
3508Beui
3508
3508Beui
3508
3508Beui
3508
3508Beui
3508
3508Beui
3508
3508Beui
3508
3508Beui
G3512
G3512
G3512
G3512
G3512
G3512
G3512
G3512
G3512
G3512
D348
3412D
3412ET
CX35P800
CX35P800
CX35P800
CX35P800
C18
C18
C18
C18
Cg18
Cg18
Cg18
Cg18
C18
Cg18
C18
Cg18
C18
Cg18
C16
C16
C16
C16
3150
3150
3412
3412C
3456
3456
3456
3456
C13D
C13D
C13D
3196
3196
3196
3196E
3196E
3196E
G3508
G3508
G3508
G3508
G3508
G3508
G3508
G3508
G3508
G3512E
G3512E
G3512E
G3512E
G3512E
G3512E
G3512E
G3512E
G3512E
G3512E
G3412CLe
CG13712
CX31P600
CX31P600
CX31P600
G3412C
C15
C15
C15
C15
C15
C15ChinaNR4
C15ChinaNR4
C15ChinaNR4
C15ChinaNR4
C13B
C13B
C13B
C13
C13
C13
Ct13
Ct13
Ct13
3408
3408
3408
3408
3408E
3408E
3408E
3408E
3408
3408E
3408
3408E
3408
3408E
3406C
G21.9L
3406
3126B
3126B
3126B
C11
C11
C11
C11
C11
C11
C11
3406E
C9.3
C9.3
1693
1693
1693
1693
1693
1693
1693
D353
3412Ta
C9.3B
C9.3B
3408B
3408B
3408B
3408B
3408C
3408C
3408C
3408C
CG13708
CG13708
CG13708
CG13708
3408B
3408C
CG13708
3408B
3408C
CG13708
3408B
3408C
CG13708
G3408
G3408
G3408
G3408
G3408
G3408
G3408
C9
C9
C9
C9
C9
C9
D343
D343
D343
D343
D343
D343
3116
3116
3116
3116T
3116T
3116T
3116Ta
3116Ta
3116Ta
3316
3316
3316
C10
C10
C10
3306
3306
3306T
3306T
3306
3306T
3306
3306T
3406B
1676
1676
1676
1676
1676
1676
3126
3126
3126
3176C
3176C
3176C
3176C
C12
C12
C12
C12
G3406
3306TA
3306TA
3306TA
3306TA
C7
C7
C7
C6.6
C6.6
C6.6
G3408CLE
3208
3208
3208
3208
C7.1
C7.1
C7.1
3160
3160
3160
3160
G3306B
G3306B
G3306B
G3306B
31116T
31116T
31116T
C4.4
C4.4
C4.4
3056E
3056E
C4.2
C4.2
C4.4ChinaNR4
C4.4ChinaNR4
C4.4ChinaNR4
C4.4e
C4.4e
C4.4e
C6D14
C6D14
C6D14
C6.4
C6.4
C6D22TC
C6D22TC
C6D22TC
3066
3066
3066T
3066T
3066Ta
3066Ta
C6.4A
C6.4A
3054E
3054E
3054E
3054TA
3054TA
3054TA
V8
V8
V8
V8
C3.6
C3.6
C3.6
C3.6
C3.6forTractors
C3.6forTractors
C3.6forTractors
C3.6forTractors
3304
3304
3304
3054
3054
3054
3054B
3054B
3054B
3054C
3054C
3054C
3054T
3054T
3054T
4M40
4M40
C3.4
C3.4
C3.4T
C3.4T
3046
3046DI
3046T
C3.6ChinaNR4
C3.6ChinaNR4
C3.6ChinaNR4
C3.6ChinaNR4
C3.8
C3.8
C3.8
C3.8
3204
3114
3114
3114
3114T
3114T
3114T
6.354.4P
D333T
D333T
D333T
G3304B
G3304B
G3304B
3064T
3064T
Mmc4D34Te1
Mmc4D34Te1
Mmc4D34Te1
C3.3
C3.3
3044C
3044C
3034
3034
3034
3034C
3034C
3034C
C2.8
C2.8
C2.8
3.3B
3.3B
C3.4B
C3.4B
4M40E1
3304T
3304T
3304T
D330
D330
C3.3B
C3.3B
D318
D318
D318
D318
D318
D318
MhiS4Q2T
MhiS4Q2T
MhiS4Q2T
C2.4
C2.4
C2.4
S4Q2
S4Q2
S4Q2
G3520B
C17516
C17520
3516E
3516E
3516E
G3520H
G3520H
G3520C
3512
3512
3512
3512
3512
3512
3512
3512
3512
3512
3512E
3512E
3512E
3512E
CX48P2300
G3512H
G3512H
G3512H
G3512H
3516C
3516C
3516C
3512B
3512B
3512B
3512B
3512B
3512B
3512B
3512B
3512B
3512B
3512BEui
3512BEui
3512BEui
3512BEui
C30
3512C
3512C
3512C
3512C
3512C
3512C
3512C
3512C
3512C
3512C
G3516H
G3516H
G3516H
V12
C32Ta
C32B
C32
3508B
3508B
3508B
3508B
3508B
3508B
3508B
3508B
3508B
C27
C27Ta
3412E
3508
3508
3508
3508Beui
3508Beui
3508Beui
3508
3508Beui
3508
3508Beui
3508
3508Beui
3508
3508Beui
3508
3508Beui
3508
3508Beui
G3512
G3512
G3512
G3512
G3512
G3512
G3512
G3512
G3512
G3512
D348
3412D
3412ET
CX35P800
CX35P800
CX35P800
CX35P800
C18
C18
C18
C18
Cg18
Cg18
Cg18
Cg18
C18
Cg18
C18
Cg18
C18
Cg18
C16
C16
C16
C16
3150
3150
3412
3412C
3456
3456
3456
3456
C13D
C13D
C13D
3196
3196
3196
3196E
3196E
3196E
G3508
G3508
G3508
G3508
G3508
G3508
G3508
G3508
G3508
G3512E
G3512E
G3512E
G3512E
G3512E
G3512E
G3512E
G3512E
G3512E
G3512E
G3412CLe
CG13712
CX31P600
CX31P600
CX31P600
G3412C
C15
C15
C15
C15
C15
C15ChinaNR4
C15ChinaNR4
C15ChinaNR4
C15ChinaNR4
C13B
C13B
C13B
C13
C13
C13
Ct13
Ct13
Ct13
3408
3408
3408
3408
3408E
3408E
3408E
3408E
3408
3408E
3408
3408E
3408
3408E
3406C
G21.9L
3406
3126B
3126B
3126B
C11
C11
C11
C11
C11
C11
C11
3406E
C9.3
C9.3
1693
1693
1693
1693
1693
1693
1693
D353
3412Ta
C9.3B
C9.3B
3408B
3408B
3408B
3408B
3408C
3408C
3408C
3408C
CG13708
CG13708
CG13708
CG13708
3408B
3408C
CG13708
3408B
3408C
CG13708
3408B
3408C
CG13708
G3408
G3408
G3408
G3408
G3408
G3408
G3408
C9
C9
C9
C9
C9
C9
D343
D343
D343
D343
D343
D343
3116
3116
3116
3116T
3116T
3116T
3116Ta
3116Ta
3116Ta
3316
3316
3316
C10
C10
C10
3306
3306
3306T
3306T
3306
3306T
3306
3306T
3406B
1676
1676
1676
1676
1676
1676
3126
3126
3126
3176C
3176C
3176C
3176C
C12
C12
C12
C12
G3406
3306TA
3306TA
3306TA
3306TA
C7
C7
C7
C6.6
C6.6
C6.6
G3408CLE
3208
3208
3208
3208
C7.1
C7.1
C7.1
3160
3160
3160
3160
G3306B
G3306B
G3306B
G3306B
31116T
31116T
31116T
C4.4
C4.4
C4.4
3056E
3056E
C4.2
C4.2
C4.4ChinaNR4
C4.4ChinaNR4
C4.4ChinaNR4
C4.4e
C4.4e
C4.4e
C6D14
C6D14
C6D14
C6.4
C6.4
C6D22TC
C6D22TC
C6D22TC
3066
3066
3066T
3066T
3066Ta
3066Ta
C6.4A
C6.4A
3054E
3054E
3054E
3054TA
3054TA
3054TA
V8
V8
V8
V8
C3.6
C3.6
C3.6
C3.6
C3.6forTractors
C3.6forTractors
C3.6forTractors
C3.6forTractors
3304
3304
3304
3054
3054
3054
3054B
3054B
3054B
3054C
3054C
3054C
3054T
3054T
3054T
4M40
4M40
C3.4
C3.4
C3.4T
C3.4T
3046
3046DI
3046T
C3.6ChinaNR4
C3.6ChinaNR4
C3.6ChinaNR4
C3.6ChinaNR4
C3.8
C3.8
C3.8
C3.8
3204
3114
3114
3114
3114T
3114T
3114T
6.354.4P
D333T
D333T
D333T
G3304B
G3304B
G3304B
3064T
3064T
Mmc4D34Te1
Mmc4D34Te1
